date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:42	10310/10310	---M--	200	added ('OK')	text/html	etag:%222846-610b69600efc0%22	https://www.mykhana.in/images/brand/clients/1.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/1.html	(from https://www.mykhana.in/)
15:49:43	10800/10800	---M--	200	added ('OK')	text/html	etag:%222a30-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/2.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/2.html	(from https://www.mykhana.in/)
15:49:44	10646/10646	---M--	200	added ('OK')	text/html	etag:%222996-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/3.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/3.html	(from https://www.mykhana.in/)
15:49:45	10286/10286	---M--	200	added ('OK')	text/html	etag:%22282e-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/4.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/4.html	(from https://www.mykhana.in/)
15:49:46	10100/10100	---M--	200	added ('OK')	text/html	etag:%222774-610b695e26b40%22	https://www.mykhana.in/images/brand/clients/5.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/5.html	(from https://www.mykhana.in/)
15:49:47	9798/9798	---M--	200	added ('OK')	text/html	etag:%222646-610b69600efc0%22	https://www.mykhana.in/images/brand/clients/6.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/6.html	(from https://www.mykhana.in/)
15:49:48	10160/10160	---M--	200	added ('OK')	text/html	etag:%2227b0-610b69600efc0%22	https://www.mykhana.in/images/brand/clients/7.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/7.html	(from https://www.mykhana.in/)
15:49:49	10402/10402	---M--	200	added ('OK')	text/html	etag:%2228a2-610b695e26b40%22	https://www.mykhana.in/images/brand/clients/8.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/8.html	(from https://www.mykhana.in/)
15:49:50	10834/10834	---M--	200	added ('OK')	text/html	etag:%222a52-610b695e26b40%22	https://www.mykhana.in/images/brand/clients/9.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/9.html	(from https://www.mykhana.in/)
15:49:51	12030/12030	---M--	200	added ('OK')	text/html	etag:%222efe-610b69600efc0%22	https://www.mykhana.in/images/brand/clients/10.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/10.html	(from https://www.mykhana.in/)
15:49:52	9676/9676	---M--	200	added ('OK')	text/html	etag:%2225cc-610b69600efc0%22	https://www.mykhana.in/images/brand/clients/11.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/11.html	(from https://www.mykhana.in/)
15:49:53	10186/10186	---M--	200	added ('OK')	text/html	etag:%2227ca-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/12.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/12.html	(from https://www.mykhana.in/)
15:49:54	11352/11352	---M--	200	added ('OK')	text/html	etag:%222c58-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/13.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/13.html	(from https://www.mykhana.in/)
15:49:55	9758/9758	---M--	200	added ('OK')	text/html	etag:%22261e-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/14.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/14.html	(from https://www.mykhana.in/)
15:49:56	9606/9606	---M--	200	added ('OK')	text/html	etag:%222586-610b695e26b40%22	https://www.mykhana.in/images/brand/clients/15.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/15.html	(from https://www.mykhana.in/)
15:49:58	10338/10338	---M--	200	added ('OK')	text/html	etag:%222862-610b69600efc0%22	https://www.mykhana.in/images/brand/clients/16.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/16.html	(from https://www.mykhana.in/)
15:49:59	9664/9664	---M--	200	added ('OK')	text/html	etag:%2225c0-610b69600efc0%22	https://www.mykhana.in/images/brand/clients/17.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/17.html	(from https://www.mykhana.in/)
15:49:59	9852/9852	---M--	200	added ('OK')	text/html	etag:%22267c-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/18.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/18.html	(from https://www.mykhana.in/)
